s - s;s - r;s - i;s - ri;s - o;s - ro;r - s;r - r;r - i;r - ri;r - o;r - ro;i - s;i - r;i - i;i - ri;i - o;i - ro;ri - s;ri - r;ri - i;ri - ri;ri - o;ri - ro;o - s;o - r;o - i;o - ri;o - o;o - ro;ro - s;ro - r;ro - i;ro - ri;ro - o;ro - ro;
4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;
6;6;6;6;6;6;5;6;5;5;6;6;6;6;6;6;6;6;5;6;5;5;6;5;6;6;6;6;6;6;6;6;6;6;6;6;
6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;
8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;
6;6;6;6;6;6;5;6;6;6;6;6;6;6;6;6;6;6;5;6;5;5;6;5;6;6;6;6;6;6;6;6;6;6;6;6;
8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;
6;6;6;6;6;6;6;6;6;6;6;5;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;
9;9;9;9;9;9;9;9;9;7;9;7;9;9;9;9;9;9;8;8;8;8;9;8;9;9;9;9;9;9;9;9;9;9;9;9;
9;9;9;9;9;9;9;9;9;9;9;8;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;8;9;9;9;9;9;9;
6;6;6;6;6;6;5;6;6;6;6;6;6;6;6;6;6;6;5;6;5;5;6;5;6;6;6;6;6;6;6;6;6;6;6;6;
5;5;5;5;5;5;4;5;4;4;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;
8;8;8;8;8;8;8;8;8;7;8;8;8;8;8;8;8;8;7;8;7;7;8;7;8;8;8;8;8;8;8;8;8;8;8;8;
4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;
5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;
9;9;9;9;9;9;8;9;9;6;9;7;9;9;9;9;9;9;8;9;8;8;9;8;9;9;9;9;9;9;9;9;9;9;9;9;
6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;
3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;
6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;
6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;
6;6;6;6;6;6;6;6;6;6;6;5;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;
