s - s;s - r;s - i;s - ri;s - o;s - ro;r - s;r - r;r - i;r - ri;r - o;r - ro;i - s;i - r;i - i;i - ri;i - o;i - ro;ri - s;ri - r;ri - i;ri - ri;ri - o;ri - ro;o - s;o - r;o - i;o - ri;o - o;o - ro;ro - s;ro - r;ro - i;ro - ri;ro - o;ro - ro;
6;6;6;6;6;6;6;5;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;
5;6;5;5;5;6;5;5;5;5;5;4;5;6;5;5;5;6;5;5;5;5;6;5;5;6;5;5;6;5;5;5;5;5;5;6;
2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;
7;7;7;7;7;7;7;7;6;7;7;6;6;7;6;6;7;6;6;7;6;6;7;7;6;6;6;6;7;7;7;7;7;7;7;7;
6;6;6;6;6;6;5;6;5;5;6;5;6;6;6;6;6;6;6;7;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;
2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;
4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;
2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;
5;5;5;5;5;5;4;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;4;5;5;5;5;5;5;5;5;5;5;5;5;
2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;
5;5;5;5;5;5;5;5;5;4;5;5;5;6;5;5;5;5;5;5;5;5;5;5;5;6;5;5;5;5;5;5;5;5;5;5;
5;6;5;5;5;5;5;6;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;
5;6;5;5;5;5;5;6;5;5;5;5;5;5;5;5;5;5;5;6;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;
4;3;4;4;4;3;4;4;4;4;4;4;4;3;4;4;4;3;4;3;4;4;4;3;4;4;4;4;4;4;4;4;4;4;4;3;
2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;
6;6;6;6;6;6;6;5;6;5;6;6;6;6;6;6;6;6;6;6;6;6;6;5;6;6;6;6;6;6;6;6;6;6;6;6;
5;5;5;5;5;5;5;5;4;5;5;4;4;5;4;4;5;4;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;
7;7;7;7;7;7;6;7;6;6;7;7;7;7;7;7;7;7;6;6;6;6;7;6;6;6;6;6;7;6;6;7;6;6;7;6;
2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;
4;5;4;4;4;4;4;4;4;4;4;4;4;5;4;4;4;4;4;4;4;4;4;4;4;5;4;4;4;4;4;4;4;4;4;4;
7;7;7;7;7;7;6;7;7;7;7;5;7;6;7;7;7;7;6;7;6;6;7;6;6;6;6;6;7;6;7;7;7;7;7;6;
6;7;6;6;6;6;6;6;6;6;6;6;6;7;6;6;6;6;6;7;6;6;6;6;6;7;6;6;6;6;6;6;6;6;6;6;
6;6;6;6;6;6;6;5;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;5;6;6;6;6;6;6;6;6;6;6;
7;7;7;7;7;7;7;7;6;7;7;6;7;7;7;7;7;7;7;6;7;7;6;7;7;7;7;7;7;6;7;7;7;7;7;7;
2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;
4;5;4;4;4;4;4;4;4;4;4;4;4;5;4;4;4;4;4;4;4;4;4;4;4;5;4;4;4;4;4;4;4;4;4;4;
6;7;6;6;6;7;6;7;6;7;6;6;6;6;6;6;6;7;6;7;6;6;6;7;6;7;6;6;6;7;6;6;6;6;6;6;
2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;
3;3;3;3;3;4;3;3;3;3;3;4;3;4;3;3;3;4;3;4;3;3;3;4;3;4;3;3;3;3;3;3;3;3;3;4;
2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;
4;4;4;4;5;4;5;5;4;4;5;5;4;5;4;4;5;4;5;6;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;
7;6;7;7;7;6;6;7;6;6;7;7;7;6;7;7;7;6;7;6;7;7;7;6;7;7;7;7;7;6;7;6;7;7;7;6;
4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;4;3;3;4;3;4;4;4;4;4;4;4;4;4;4;4;4;
2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;
3;3;3;3;3;3;3;4;3;3;3;3;3;4;3;3;3;3;3;4;3;3;3;3;3;4;3;3;3;3;3;3;3;3;3;3;
6;6;6;6;6;6;5;6;5;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;
4;5;4;4;5;4;5;5;5;5;5;5;4;5;4;4;5;4;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;
7;7;7;7;7;7;7;6;7;7;6;6;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;
2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;
5;6;5;5;5;5;5;5;5;5;5;5;5;6;5;5;5;5;5;5;5;5;5;5;5;6;5;5;5;5;5;5;5;5;5;5;
6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;5;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;
7;7;7;7;7;7;7;6;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;
3;4;3;3;3;3;3;4;3;3;3;3;3;4;3;3;3;3;3;5;3;3;3;3;3;4;3;3;3;3;3;4;3;3;3;3;
5;6;5;5;6;5;5;5;5;5;5;5;5;5;5;5;6;5;5;6;5;5;6;5;5;6;5;5;6;5;5;5;5;5;6;5;
6;6;6;6;6;6;6;5;5;6;6;5;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;
4;5;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;5;4;4;4;4;4;5;4;4;4;4;4;4;4;4;4;4;
2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;
7;7;7;7;7;7;6;7;7;7;7;6;7;7;7;7;7;7;7;7;7;7;7;7;7;6;7;7;7;7;7;7;7;7;7;7;
6;6;6;6;6;5;6;6;6;6;6;6;6;6;6;6;6;5;6;6;6;6;6;5;6;7;6;6;6;6;6;5;6;6;6;5;
7;7;7;7;7;7;7;7;6;7;7;7;7;7;7;7;7;7;6;7;6;6;7;7;7;7;7;7;7;6;7;7;7;7;7;7;
